"Experimental_Loop_PLUS_Pause","Letter_Control_Condition","Letter_Experimental_Condition","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","condition1","condition2","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_KBR_Control","correct_KBR_Control_1","correct_KBR_Experimental","correct_KBR_Experimental_2","correct_response_Control","correct_response_Experimental","count_Blank_Control","count_Blank_Control_1","count_Blank_Experimental","count_Blank_Experimental_2","count_Block_sequence","count_Block_sequence_1","count_Counterbalance","count_End_of_Experiment","count_End_of_Practice","count_Experimental_Loop","count_Experimental_Loop_with_Pause","count_Experimental_PLUS_Pause_Sequence","count_Instructions","count_Instructions_Control_Condition","count_Instructions_Control_Condition_1","count_Instructions_Experimental_Condition","count_Instructions_Experimental_Condition_1","count_KBR_Control","count_KBR_Control_1","count_KBR_Experimental","count_KBR_Experimental_2","count_Letter_Control_Condition","count_Letter_Control_Condition_1","count_Letter_Experimental_Condition_2","count_Letter_Experimental_Condition_2_2","count_Pause_1","count_PracticeLoop","count_Trial_Loop_Control_Condition_Experimental_Phase_1","count_Trial_Loop_Control_Condition_Practice_Phase","count_Trial_Loop_Experimental_Condition_Experimental_Phase","count_Trial_Loop_Experimental_Condition_Practice_Phase","count_Trial_sequence_Control","count_Trial_sequence_Control_1","count_Trial_sequence_Experimental","count_Trial_sequence_Experimental_2","count_coroutines_Control","count_experiment","count_logger_1","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","live_row_Trial_Loop_Control_Condition_Practice_Phase","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_KBR_Control","response_KBR_Control_1","response_KBR_Experimental","response_KBR_Experimental_2","response_time","response_time_KBR_Control","response_time_KBR_Control_1","response_time_KBR_Experimental","response_time_KBR_Experimental_2","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Blank_Control","time_Blank_Control_1","time_Blank_Experimental","time_Blank_Experimental_2","time_Block_sequence","time_Block_sequence_1","time_Counterbalance","time_End_of_Experiment","time_End_of_Practice","time_Experimental_Loop","time_Experimental_Loop_with_Pause","time_Experimental_PLUS_Pause_Sequence","time_Instructions","time_Instructions_Control_Condition","time_Instructions_Control_Condition_1","time_Instructions_Experimental_Condition","time_Instructions_Experimental_Condition_1","time_KBR_Control","time_KBR_Control_1","time_KBR_Experimental","time_KBR_Experimental_2","time_Letter_Control_Condition","time_Letter_Control_Condition_1","time_Letter_Experimental_Condition_2","time_Letter_Experimental_Condition_2_2","time_Pause_1","time_PracticeLoop","time_Trial_Loop_Control_Condition_Experimental_Phase_1","time_Trial_Loop_Control_Condition_Practice_Phase","time_Trial_Loop_Experimental_Condition_Experimental_Phase","time_Trial_Loop_Experimental_Condition_Practice_Phase","time_Trial_sequence_Control","time_Trial_sequence_Control_1","time_Trial_sequence_Experimental","time_Trial_sequence_Experimental_2","time_experiment","time_logger_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"","F","X","90.9090909091","90.9090909091","600.454545455","600.454545455","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","154426","2000","0.0129511869763","1","1","1","0","NA","m","None","4","0","4","NA","1","0","0","0","0","0","0","0","0","1","0","1","0","4","0","4","NA","4","0","4","NA","0","0","0","1","0","1","4","0","4","NA","4","0","10","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","0","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","NA","1040","543","1040","1159","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","41171","25416","NA","14290","38152","1219","NA","26435","38118","28063","28117","1219","2098","38153","14291","NA","12237","40171","24416","NA","12237","40171","24416","NA","28118","2059","40148","4093","NA","16286","12223","40150","24401","NA","1218","42170","Go No-go Task","10","6605","11","yes","1024"
"","A","X","91.6666666667","91.6666666667","575.916666667","575.916666667","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","189005","2000","0.010581730642","1","1","1","0","NA","m","None","4","1","4","NA","1","0","0","0","0","0","0","0","0","1","0","1","0","4","1","4","NA","4","1","4","NA","0","0","0","1","0","1","4","1","4","NA","4","0","11","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","1","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","NA","306","543","306","1159","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","43198","25416","NA","14290","38152","1219","NA","26435","38118","28063","28117","1219","2098","38153","14291","NA","12237","42199","24416","NA","12237","42199","24416","NA","28118","2059","40148","4093","NA","16286","12223","42184","24401","NA","1218","44197","Go No-go Task","11","6911","12","yes","1024"
"","S","X","92.3076923077","92.3076923077","557.076923077","557.076923077","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","187267","2000","0.01067993827","1","1","1","0","NA","m","None","4","2","4","NA","1","0","0","0","0","0","0","0","0","1","0","1","0","4","2","4","NA","4","2","4","NA","0","0","0","1","0","1","4","2","4","NA","4","0","12","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","2","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","NA","331","543","331","1159","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","45226","25416","NA","14290","38152","1219","NA","26435","38118","28063","28117","1219","2098","38153","14291","NA","12237","44226","24416","NA","12237","44226","24416","NA","28118","2059","40148","4093","NA","16286","12223","44212","24401","NA","1218","46225","Go No-go Task","12","7242","13","yes","1024"
"","G","X","92.8571428571","92.8571428571","541","541","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","185800","2000","0.010764262648","1","1","1","0","NA","m","None","4","3","4","NA","1","0","0","0","0","0","0","0","0","1","0","1","0","4","3","4","NA","4","3","4","NA","0","0","0","1","0","1","4","3","4","NA","4","0","13","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","3","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","NA","332","543","332","1159","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","47253","25416","NA","14290","38152","1219","NA","26435","38118","28063","28117","1219","2098","38153","14291","NA","12237","46254","24416","NA","12237","46254","24416","NA","28118","2059","40148","4093","NA","16286","12223","46240","24401","NA","1218","48252","Go No-go Task","13","7574","14","yes","1024"
"","T","X","93.3333333333","93.3333333333","526.533333333","526.533333333","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","186312","2000","0.0107346816093","1","1","1","0","NA","m","None","4","4","4","NA","1","0","0","0","0","0","0","0","0","1","0","1","0","4","4","4","NA","4","4","4","NA","0","0","0","1","0","1","4","4","4","NA","4","0","14","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","4","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","NA","324","543","324","1159","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","49276","25416","NA","14290","38152","1219","NA","26435","38118","28063","28117","1219","2098","38153","14291","NA","12237","48277","24416","NA","12237","48277","24416","NA","28118","2059","40148","4093","NA","16286","12223","48262","24401","NA","1218","50275","Go No-go Task","14","7898","15","yes","1024"
"","Q","X","93.75","93.75","510.5625","510.5625","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","189566","2000","0.0105504151588","1","1","1","0","NA","m","None","4","5","4","NA","1","0","0","0","0","0","0","0","0","1","0","1","0","4","5","4","NA","4","5","4","NA","0","0","0","1","0","1","4","5","4","NA","4","0","15","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","5","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","NA","271","543","271","1159","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","51304","25416","NA","14290","38152","1219","NA","26435","38118","28063","28117","1219","2098","38153","14291","NA","12237","50304","24416","NA","12237","50304","24416","NA","28118","2059","40148","4093","NA","16286","12223","50290","24401","NA","1218","52303","Go No-go Task","15","8169","16","yes","1024"
"","C","X","94.1176470588","94.1176470588","524.176470588","524.176470588","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","165444","2000","0.0120886825754","1","1","1","0","NA","m","None","4","6","4","NA","1","0","0","0","0","0","0","0","0","1","0","1","0","4","6","4","NA","4","6","4","NA","0","0","0","1","0","1","4","6","4","NA","4","0","16","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","6","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","NA","742","543","742","1159","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","53331","25416","NA","14290","38152","1219","NA","26435","38118","28063","28117","1219","2098","38153","14291","NA","12237","52332","24416","NA","12237","52332","24416","NA","28118","2059","40148","4093","NA","16286","12223","52318","24401","NA","1218","54330","Go No-go Task","16","8911","17","yes","1024"
"","L","X","94.4444444444","94.4444444444","512.888888889","512.888888889","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","187061","2000","0.0106916994991","1","1","1","0","NA","m","None","4","7","4","NA","1","0","0","0","0","0","0","0","0","1","0","1","0","4","7","4","NA","4","7","4","NA","0","0","0","1","0","1","4","7","4","NA","4","0","17","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","7","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","NA","321","543","321","1159","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","55359","25416","NA","14290","38152","1219","NA","26435","38118","28063","28117","1219","2098","38153","14291","NA","12237","54359","24416","NA","12237","54359","24416","NA","28118","2059","40148","4093","NA","16286","12223","54345","24401","NA","1218","56358","Go No-go Task","17","9232","18","yes","1024"
"","U","X","94.7368421053","94.7368421053","501.736842105","501.736842105","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","195914","2000","0.0102085608992","1","1","1","0","NA","m","None","4","8","4","NA","1","0","0","0","0","0","0","0","0","1","0","1","0","4","8","4","NA","4","8","4","NA","0","0","0","1","0","1","4","8","4","NA","4","0","18","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","8","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","NA","301","543","301","1159","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","57387","25416","NA","14290","38152","1219","NA","26435","38118","28063","28117","1219","2098","38153","14291","NA","12237","56388","24416","NA","12237","56388","24416","NA","28118","2059","40148","4093","NA","16286","12223","56373","24401","NA","1218","58386","Go No-go Task","18","9533","19","yes","1024"
"","H","X","95","95","494.4","494.4","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","189430","2000","0.0105579897587","1","1","1","0","NA","m","None","4","9","4","NA","1","0","0","0","0","0","0","0","0","1","0","1","0","4","9","4","NA","4","9","4","NA","0","0","0","1","0","1","4","9","4","NA","4","0","19","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","9","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","NA","355","543","355","1159","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","59426","25416","NA","14290","38152","1219","NA","26435","38118","28063","28117","1219","2098","38153","14291","NA","12237","58427","24416","NA","12237","58427","24416","NA","28118","2059","40148","4093","NA","16286","12223","58404","24401","NA","1218","60425","Go No-go Task","19","9888","20","yes","1024"
"","R","X","95.2380952381","95.2380952381","490.238095238","490.238095238","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","186959","2000","0.0106975326141","1","1","1","0","NA","m","None","4","10","4","NA","1","0","0","0","0","0","0","0","0","1","0","1","0","4","10","4","NA","4","10","4","NA","0","0","0","1","0","1","4","10","4","NA","4","0","20","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","10","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","NA","407","543","407","1159","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","61454","25416","NA","14290","38152","1219","NA","26435","38118","28063","28117","1219","2098","38153","14291","NA","12237","60454","24416","NA","12237","60454","24416","NA","28118","2059","40148","4093","NA","16286","12223","60440","24401","NA","1218","62453","Go No-go Task","20","10295","21","yes","1024"
"","W","X","95.4545454545","95.4545454545","484.363636364","484.363636364","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","189827","2000","0.0105359090119","1","1","1","0","NA","m","None","4","11","4","NA","1","0","0","0","0","0","0","0","0","1","0","1","0","4","11","4","NA","4","11","4","NA","0","0","0","1","0","1","4","11","4","NA","4","0","21","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","11","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","NA","361","543","361","1159","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","63482","25416","NA","14290","38152","1219","NA","26435","38118","28063","28117","1219","2098","38153","14291","NA","12237","62482","24416","NA","12237","62482","24416","NA","28118","2059","40148","4093","NA","16286","12223","62468","24401","NA","1218","64481","Go No-go Task","21","10656","22","yes","1024"
"","K","X","95.652173913","95.652173913","478.869565217","478.869565217","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","188262","2000","0.010623492792","1","1","1","0","NA","m","None","4","12","4","NA","1","0","0","0","0","0","0","0","0","1","0","1","0","4","12","4","NA","4","12","4","NA","0","0","0","1","0","1","4","12","4","NA","4","0","22","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","12","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","NA","358","543","358","1159","NA","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","65505","25416","NA","14290","38152","1219","NA","26435","38118","28063","28117","1219","2098","38153","14291","NA","12237","64506","24416","NA","12237","64506","24416","NA","28118","2059","40148","4093","NA","16286","12223","64492","24401","NA","1218","66504","Go No-go Task","22","11014","23","yes","1024"
"","K","X","95.8333333333","95.8333333333","542.166666667","542.166666667","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","106774","2000","0.0187311517785","1","1","1","0","1","m","None","4","12","4","0","1","1","0","0","0","0","0","0","0","1","1","1","1","4","12","4","0","4","12","4","0","0","0","1","1","1","1","4","12","4","0","4","0","23","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","0","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","m","m","None","1998","543","358","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","65505","25416","69567","14290","66557","1219","NA","26435","38118","28063","28117","1219","2098","38153","14291","66558","12237","64506","24416","68568","12237","64506","24416","68568","28118","2059","40148","4093","68553","16286","12223","64492","24401","68554","1218","70566","Go No-go Task","23","13012","24","yes","1024"
"","K","X","92","92","531.96","531.96","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","189291","2000","0.0105657426925","0","1","1","0","0","m","None","4","12","4","1","1","1","0","0","0","0","0","0","0","1","1","1","1","4","12","4","1","4","12","4","1","0","0","1","1","1","1","4","12","4","1","4","0","24","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","1","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","287","543","358","1159","287","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","65505","25416","71595","14290","66557","1219","NA","26435","38118","28063","28117","1219","2098","38153","14291","66558","12237","64506","24416","70596","12237","64506","24416","70596","28118","2059","40148","4093","68553","16286","12223","64492","24401","70581","1218","72594","Go No-go Task","23","13299","25","yes","1024"
"","K","K","92.3076923077","92.3076923077","528.961538462","528.961538462","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","180565","2000","0.0110763436989","1","1","1","0","1","m","m","4","12","4","2","1","1","0","0","0","0","0","0","0","1","1","1","1","4","12","4","2","4","12","4","2","0","0","1","1","1","1","4","12","4","2","4","0","25","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","2","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","454","543","358","1159","454","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","65505","25416","73623","14290","66557","1219","NA","26435","38118","28063","28117","1219","2098","38153","14291","66558","12237","64506","24416","72623","12237","64506","24416","72623","28118","2059","40148","4093","68553","16286","12223","64492","24401","72609","1218","74622","Go No-go Task","24","13753","26","yes","1024"
"","K","D","92.5925925926","92.5925925926","530.222222222","530.222222222","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","175370","2000","0.0114044591435","1","1","1","0","1","m","m","4","12","4","3","1","1","0","0","0","0","0","0","0","1","1","1","1","4","12","4","3","4","12","4","3","0","0","1","1","1","1","4","12","4","3","4","0","26","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","3","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","563","543","358","1159","563","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","65505","25416","75651","14290","66557","1219","NA","26435","38118","28063","28117","1219","2098","38153","14291","66558","12237","64506","24416","74652","12237","64506","24416","74652","28118","2059","40148","4093","68553","16286","12223","64492","24401","74637","1218","76650","Go No-go Task","25","14316","27","yes","1024"
"","K","X","89.2857142857","89.2857142857","527.678571429","527.678571429","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","178070","2000","0.0112315381592","0","1","1","0","0","m","None","4","12","4","4","1","1","0","0","0","0","0","0","0","1","1","1","1","4","12","4","4","4","12","4","4","0","0","1","1","1","1","4","12","4","4","4","0","27","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","4","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","459","543","358","1159","459","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","65505","25416","77689","14290","66557","1219","NA","26435","38118","28063","28117","1219","2098","38153","14291","66558","12237","64506","24416","76689","12237","64506","24416","76689","28118","2059","40148","4093","68553","16286","12223","64492","24401","76672","1218","78688","Go No-go Task","25","14775","28","yes","1024"
"","K","X","86.2068965517","86.2068965517","520.448275862","520.448275862","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","186825","2000","0.0107052054061","0","1","1","0","0","m","None","4","12","4","5","1","1","0","0","0","0","0","0","0","1","1","1","1","4","12","4","5","4","12","4","5","0","0","1","1","1","1","4","12","4","5","4","0","28","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","5","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","318","543","358","1159","318","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","65505","25416","79725","14290","66557","1219","NA","26435","38118","28063","28117","1219","2098","38153","14291","66558","12237","64506","24416","78726","12237","64506","24416","78726","28118","2059","40148","4093","68553","16286","12223","64492","24401","78709","1218","80724","Go No-go Task","25","15093","29","yes","1024"
"","K","X","86.6666666667","86.6666666667","569.7","569.7","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","109711","2000","0.0182297126086","1","1","1","0","1","m","None","4","12","4","6","1","1","0","0","0","0","0","0","0","1","1","1","1","4","12","4","6","4","12","4","6","0","0","1","1","1","1","4","12","4","6","4","0","29","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","6","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","m","m","None","1998","543","358","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","65505","25416","81764","14290","66557","1219","NA","26435","38118","28063","28117","1219","2098","38153","14291","66558","12237","64506","24416","80764","12237","64506","24416","80764","28118","2059","40148","4093","68553","16286","12223","64492","24401","80746","1218","82764","Go No-go Task","26","17091","30","yes","1024"
"","K","W","87.0967741935","87.0967741935","567.612903226","567.612903226","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","184001","2000","0.010869506144","1","1","1","0","1","m","m","4","12","4","7","1","1","0","0","0","0","0","0","0","1","1","1","1","4","12","4","7","4","12","4","7","0","0","1","1","1","1","4","12","4","7","4","0","30","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","7","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","505","543","358","1159","505","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","65505","25416","83804","14290","66557","1219","NA","26435","38118","28063","28117","1219","2098","38153","14291","66558","12237","64506","24416","82804","12237","64506","24416","82804","28118","2059","40148","4093","68553","16286","12223","64492","24401","82787","1218","84803","Go No-go Task","27","17596","31","yes","1024"
"","K","Y","87.5","87.5","563.71875","563.71875","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","183591","2000","0.0108937801962","1","1","1","0","1","m","m","4","12","4","8","1","1","0","0","0","0","0","0","0","1","1","1","1","4","12","4","8","4","12","4","8","0","0","1","1","1","1","4","12","4","8","4","0","31","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","8","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","443","543","358","1159","443","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","65505","25416","85832","14290","66557","1219","NA","26435","38118","28063","28117","1219","2098","38153","14291","66558","12237","64506","24416","84832","12237","64506","24416","84832","28118","2059","40148","4093","68553","16286","12223","64492","24401","84818","1218","86831","Go No-go Task","28","18039","32","yes","1024"
